flo2d_250_station_id,ob_1_id,ob_2_id,ob_3_id,ob_4_id,ob_5_id,ob_6_id,ob_7_id,ob_8_id,ob_9_id,ob_10_id
215,100075,100064,100043,100038,100042,100056,100057,100061,100059,100045
216,100075,100064,100043,100038,100042,100056,100057,100061,100059,100045
217,100064,100075,100043,100038,100056,100042,100057,100061,100059,100045
218,100064,100075,100043,100038,100056,100042,100061,100057,100059,100045
219,100064,100075,100043,100038,100056,100042,100061,100057,100059,100045
220,100064,100075,100043,100038,100056,100042,100061,100057,100059,100045
221,100064,100075,100043,100038,100056,100061,100042,100057,100059,100045
222,100064,100075,100043,100038,100056,100061,100042,100057,100059,100045
223,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
224,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
225,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
226,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
227,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
228,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
229,100064,100075,100043,100038,100056,100061,100057,100059,100042,100045
230,100064,100075,100043,100038,100056,100061,100057,100059,100042,100045
231,100064,100075,100038,100043,100056,100061,100057,100059,100042,100045
232,100064,100075,100038,100043,100056,100061,100057,100059,100042,100045
233,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
234,100064,100038,100075,100043,100061,100056,100057,100059,100042,100045
235,100064,100038,100043,100075,100061,100056,100057,100059,100042,100045
236,100064,100038,100043,100075,100061,100056,100057,100059,100042,100045
237,100038,100064,100043,100061,100075,100056,100057,100059,100042,100045
238,100038,100064,100061,100043,100056,100075,100057,100059,100042,100045
239,100038,100064,100061,100043,100056,100075,100057,100059,100042,100045
240,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
241,100038,100061,100043,100064,100056,100075,100057,100059,100042,100045
242,100038,100061,100043,100056,100064,100075,100057,100059,100042,100045
243,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
244,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
245,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
246,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
247,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
248,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
249,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
250,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
251,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
252,100038,100061,100056,100043,100057,100064,100075,100059,100042,100045
253,100038,100061,100056,100043,100057,100064,100075,100059,100042,100045
254,100038,100061,100056,100043,100057,100064,100075,100059,100042,100045
255,100038,100061,100056,100043,100057,100064,100075,100059,100042,100045
256,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
257,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
258,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
259,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
260,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
261,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
262,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
263,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
264,100075,100064,100043,100042,100038,100056,100057,100059,100061,100045
265,100075,100064,100043,100042,100038,100056,100057,100059,100061,100045
266,100075,100064,100043,100038,100042,100056,100057,100059,100061,100045
267,100075,100064,100043,100038,100042,100056,100057,100059,100061,100045
268,100064,100075,100043,100038,100056,100042,100057,100061,100059,100045
269,100064,100075,100043,100038,100056,100042,100057,100061,100059,100045
270,100064,100075,100043,100038,100056,100042,100057,100061,100059,100045
271,100064,100075,100043,100038,100056,100042,100061,100057,100059,100045
