id,stationId,name,control,status,longitude,latitude,resolution,description
1100218,wrf0_80.066040_6.697456,wrf0_80.066040_6.697456,virtual,n/a,80.066,6.69746,0,WRF point
1100219,wrf0_80.093269_6.697456,wrf0_80.093269_6.697456,virtual,n/a,80.0933,6.69746,0,WRF point
1100220,wrf0_80.120499_6.697456,wrf0_80.120499_6.697456,virtual,n/a,80.1205,6.69746,0,WRF point
1100221,wrf0_80.147728_6.697456,wrf0_80.147728_6.697456,virtual,n/a,80.1477,6.69746,0,WRF point
1100222,wrf0_80.174957_6.697456,wrf0_80.174957_6.697456,virtual,n/a,80.175,6.69746,0,WRF point
1100223,wrf0_80.202187_6.697456,wrf0_80.202187_6.697456,virtual,n/a,80.2022,6.69746,0,WRF point
1100224,wrf0_80.229416_6.697456,wrf0_80.229416_6.697456,virtual,n/a,80.2294,6.69746,0,WRF point
1100225,wrf0_80.256645_6.697456,wrf0_80.256645_6.697456,virtual,n/a,80.2566,6.69746,0,WRF point
1100226,wrf0_80.283875_6.697456,wrf0_80.283875_6.697456,virtual,n/a,80.2839,6.69746,0,WRF point
1100227,wrf0_80.311104_6.697456,wrf0_80.311104_6.697456,virtual,n/a,80.3111,6.69746,0,WRF point
1100228,wrf0_80.338333_6.697456,wrf0_80.338333_6.697456,virtual,n/a,80.3383,6.69746,0,WRF point
1100229,wrf0_80.365562_6.697456,wrf0_80.365562_6.697456,virtual,n/a,80.3656,6.69746,0,WRF point
1100230,wrf0_80.392792_6.697456,wrf0_80.392792_6.697456,virtual,n/a,80.3928,6.69746,0,WRF point
1100231,wrf0_80.420021_6.697456,wrf0_80.420021_6.697456,virtual,n/a,80.42,6.69746,0,WRF point
1100232,wrf0_80.447250_6.697456,wrf0_80.447250_6.697456,virtual,n/a,80.4473,6.69746,0,WRF point
1100233,wrf0_80.474480_6.697456,wrf0_80.474480_6.697456,virtual,n/a,80.4745,6.69746,0,WRF point
1100234,wrf0_80.501709_6.697456,wrf0_80.501709_6.697456,virtual,n/a,80.5017,6.69746,0,WRF point
