id,longitude,latitude
1103527,80.5834,7.0489
1103528,80.6106,7.0489
1103529,80.6379,7.0489
1103530,80.6651,7.0489
1103531,80.6923,7.0489
1103532,80.7195,7.0489
1103533,80.7468,7.0489
1103534,80.774,7.0489
1103535,79.8482,7.07591
1103536,79.8754,7.07591
1103537,79.9027,7.07591
1103538,79.9299,7.07591
1103539,79.9571,7.07591
1103540,79.9844,7.07591
1103541,80.0116,7.07591
1103542,80.0388,7.07591
1103543,80.066,7.07591
1103544,80.0933,7.07591
1103545,80.1205,7.07591
1103546,80.1477,7.07591
1103547,80.175,7.07591
1103548,80.2022,7.07591
1103549,80.2294,7.07591
1103550,80.2566,7.07591
1103551,80.2839,7.07591
1103552,80.3111,7.07591
1103553,80.3383,7.07591
1103554,80.3656,7.07591
1103555,80.3928,7.07591
1103556,80.42,7.07591
1103557,80.4473,7.07591
1103558,80.4745,7.07591
1103559,80.5017,7.07591
1103560,80.5289,7.07591
1103561,80.5562,7.07591
1103562,80.5834,7.07591
1103563,80.6106,7.07591
1103564,80.6379,7.07591
1103565,80.6651,7.07591
1103566,80.6923,7.07591
1103567,80.7195,7.07591
1103568,80.7468,7.07591
1103569,80.774,7.07591
1103570,79.8482,7.10294
1103571,79.8754,7.10294
1103572,79.9027,7.10294
1103573,79.9299,7.10294
1103574,79.9571,7.10294
1103575,79.9844,7.10294
1103576,80.0116,7.10294
1103577,80.0388,7.10294
1103578,80.066,7.10294
1103579,80.0933,7.10294
1103580,80.1205,7.10294
1103581,80.1477,7.10294
1103582,80.175,7.10294
1103583,80.2022,7.10294
1103584,80.2294,7.10294
1103585,80.2566,7.10294
1103586,80.2839,7.10294
1103587,80.3111,7.10294
1103588,80.3383,7.10294
1103589,80.3656,7.10294
1103590,80.3928,7.10294
1103591,80.42,7.10294
1103592,80.4473,7.10294
1103593,80.4745,7.10294
1103594,80.5017,7.10294
1103595,80.5289,7.10294
1103596,80.5562,7.10294
1103597,80.5834,7.10294
1103598,80.6106,7.10294
1103599,80.6379,7.10294
1103600,80.6651,7.10294
1103601,80.6923,7.10294
1103602,80.7195,7.10294
1103603,80.7468,7.10294
1103604,80.774,7.10294
1103605,79.8482,7.12996
1103606,79.8754,7.12996
1103607,79.9027,7.12996
1103608,79.9299,7.12996
1103609,79.9571,7.12996
1103610,79.9844,7.12996
1103611,80.0116,7.12996
1103612,80.0388,7.12996
1103613,80.066,7.12996
1103614,80.0933,7.12996
1103615,80.1205,7.12996
1103616,80.1477,7.12996
1103617,80.175,7.12996
1103618,80.2022,7.12996
1103619,80.2294,7.12996
1103620,80.2566,7.12996
1103621,80.2839,7.12996
1103622,80.3111,7.12996
1103623,80.3383,7.12996
1103624,80.3656,7.12996
1103625,80.3928,7.12996
1103626,80.42,7.12996
1103627,80.4473,7.12996
1103628,80.4745,7.12996
1103629,80.5017,7.12996
1103630,80.5289,7.12996
1103631,80.5562,7.12996
1103632,80.5834,7.12996
