0           41550
H             68.0          120.0
H             68.083        121.0
H             68.167        122.0
H             68.25         120.0
H             68.333        120.0
H             68.417        122.0
H             68.5          119.0
H             68.583        121.0
H             68.667        121.0
H             68.75         120.0
H             68.833        123.0
H             68.917        122.0
H             69.0          121.0
H             69.083        121.0
H             69.167        122.0
H             69.25         122.0
H             69.333        122.0
H             69.417        121.0
H             69.5          123.0
H             69.583        123.0
H             69.667        124.0
H             69.75         124.0
H             69.833        123.0
H             69.917        123.0
H             70.0          124.0
H             70.083        124.0
H             70.167        125.0
H             70.25         123.0
H             70.333        124.0
H             70.417        124.0
H             70.5          124.0
H             70.583        125.0
H             70.667        125.0
H             70.75         125.0
H             70.833        125.0
H             70.917        125.0
H             71.0          125.0
H             71.083        126.0
H             71.167        126.0
H             71.25         127.0
H             71.333        125.0
H             71.417        126.0
H             71.5          127.0
H             71.583        127.0
H             71.667        126.0
H             71.75         125.0
H             71.833        128.0
H             71.917        127.0
H             72.0          128.0
H             72.083        128.0
H             72.167        127.0
H             72.25         128.0
H             72.333        128.0
H             72.417        129.0
H             72.5          128.0
H             72.583        128.0
H             72.667        129.0
H             72.75         130.0
H             72.833        130.0
H             72.917        130.0
H             73.0          129.0
H             73.083        130.0
H             73.167        129.0
H             73.25         130.0
H             73.333        131.0
H             73.417        131.0
H             73.5          131.0
H             73.583        131.0
H             73.667        131.0
H             73.75         133.0
H             73.833        132.0
H             73.917        132.0
H             74.0          132.0
H             74.083        132.0
H             74.167        133.0
H             74.25         133.0
H             74.333        103.0
H             74.417        105.0
H             74.5          105.0
H             74.583        106.0
H             74.667        108.0
H             74.75         108.0
H             74.833        108.0
H             74.917        110.0
H             75.0          111.0
H             75.083        109.0
H             75.167        110.0
H             75.25         112.0
H             75.333        112.0
H             75.417        113.0
H             75.5          114.0
H             75.583        113.0
H             75.667        114.0
H             75.75         115.0
H             75.833        116.0
H             75.917        116.0
H             76.0          117.0
H             76.083        117.0
H             76.167        117.0
H             76.25         117.0
H             76.333        118.0
H             76.417        119.0
H             76.5          120.0
H             76.583        120.0
H             76.667        120.0
H             76.75         121.0
H             76.833        120.0
H             76.917        120.0
H             77.0          121.0
H             77.083        122.0
H             77.167        120.0
H             77.25         120.0
H             77.333        122.0
H             77.417        119.0
H             77.5          121.0
H             77.583        121.0
H             77.667        120.0
H             77.75         123.0
H             77.833        122.0
H             77.917        121.0
H             78.0          121.0
H             78.083        122.0
H             78.167        122.0
H             78.25         122.0
H             78.333        122.0
H             78.417        135.0
H             78.5          133.0
H             78.583        134.0
H             78.667        132.0
H             78.75         131.0
H             78.833        131.0
H             78.917        132.0
H             79.0          132.0
H             79.083        130.0
H             79.167        130.0
H             79.25         128.0
H             79.333        130.0
H             79.417        129.0
H             79.5          130.0
H             79.583        128.0
H             79.667        127.0
H             79.75         127.0
H             79.833        127.0
H             79.917        128.0
H             80.0          126.0
H             80.083        126.0
H             80.167        126.0
H             80.25         127.0
H             80.333        127.0
H             80.417        125.0
H             80.5          125.0
H             80.583        126.0
H             80.667        124.0
H             80.75         125.0
H             80.833        125.0
H             80.917        124.0
H             81.0          123.0
H             81.083        124.0
H             81.167        124.0
H             81.25         123.0
H             81.333        123.0
H             81.417        124.0
H             81.5          123.0
H             81.583        123.0
H             81.667        124.0
H             81.75         124.0
H             81.833        123.0
H             81.917        124.0
H             82.0          124.0
H             82.083        124.0
H             82.167        123.0
H             82.25         122.0
H             82.333        125.0
H             82.417        123.0
H             82.5          123.0
H             82.583        122.0
H             82.667        123.0
H             82.75         125.0
H             82.833        124.0
H             82.917        124.0
H             83.0          125.0
H             83.083        125.0
H             83.167        125.0
H             83.25         125.0
H             83.333        125.0
H             83.417        125.0
H             83.5          126.0
H             83.583        127.0
H             83.667        125.0
H             83.75         127.0
H             83.833        126.0
H             83.917        126.0
H             84.0          127.0
H             84.083        128.0
H             84.167        128.0
H             84.25         129.0
H             84.333        128.0
H             84.417        128.0
H             84.5          128.0
H             84.583        129.0
H             84.667        129.0
H             84.75         130.0
H             84.833        130.0
H             84.917        128.0
H             85.0          131.0
H             85.083        130.0
H             85.167        131.0
H             85.25         132.0
H             85.333        130.0
H             85.417        131.0
H             85.5          131.0
H             85.583        132.0
H             85.667        133.0
H             85.75         132.0
H             85.833        132.0
H             85.917        133.0
H             86.0          131.0
H             86.083        133.0
H             86.167        133.0
H             86.25         133.0
H             86.333        133.0
H             86.417        133.0
H             86.5          133.0
H             86.583        134.0
H             86.667        132.0
H             86.75         133.0
H             86.833        133.0
H             86.917        135.0
H             87.0          136.0
H             87.083        137.0
H             87.167        134.0
H             87.25         136.0
H             87.333        134.0
H             87.417        135.0
H             87.5          136.0
H             87.583        134.0
H             87.667        135.0
H             87.75         136.0
H             87.833        137.0
H             87.917        138.0
H             88.0          136.0
H             88.083        136.0
H             88.167        136.0
H             88.25         136.0
H             88.333        136.0
H             88.417        137.0
H             88.5          137.0
H             88.583        137.0
H             88.667        137.0
H             88.75         137.0
H             88.833        138.0
H             88.917        137.0
H             89.0          137.0
H             89.083        136.0
H             89.167        137.0
H             89.25         136.0
